# TEST CONFIGURATION BEGIN
# ConceptDriftStream: First Stream: MIXEDGenerator - Drift Stream: MIXEDGenerator - alpha: 90.0 - position: 5000 - width: 1 -
# [hat] HAT: max_byte_size: 33554432 - memory_estimate_period: 1000000 - grace_period: 200 - split_criterion: info_gain - split_confidence: 1e-07 - tie_threshold: 0.05 - binary_split: False - stop_mem_management: False - remove_poor_atts: False - no_pre_prune: False - leaf_prediction: nba - nb_threshold: 0 - nominal_attributes: [] -
# [rslvq] RSLVQ
# [arslvq] RSLVQ
# [adf] AdaptiveRandomForest: n_estimators: 10 - max_features: auto - disable_weighted_vote: False - lambda_value: 6 -
# [oza] OzaBagginAdwin Classifier: base_estimator: <skmultiflow.lazy.knn.KNN object at 0x7fadd74ce7f0> - n_estimators: 10
# Prequential Evaluator: n_wait: 200 - max_samples: 50000 - max_time: inf - output_file: Mixed Generator_memory_other.csv - batch_size: 10 - pretrain_size: 200 - task_type: classification - show_plot: False - metrics: ['accuracy', 'model_size']
# TEST CONFIGURATION END
id,mean_acc_[hat],current_acc_[hat],mean_acc_[rslvq],current_acc_[rslvq],mean_acc_[arslvq],current_acc_[arslvq],mean_acc_[adf],current_acc_[adf],mean_acc_[oza],current_acc_[oza],model_size_[hat],model_size_[rslvq],model_size_[arslvq],model_size_[adf],model_size_[oza]
23390,0.863103,0.805000,0.379784,0.290000,0.880345,0.855000,0.962802,0.980000,0.950690,0.970000,32.112305,3.756836,58.349609,5485.646484,2896.583008
23590,0.863376,0.895000,0.378889,0.275000,0.880598,0.910000,0.962991,0.985000,0.950855,0.970000,35.018555,3.756836,58.349609,5524.603516,2894.114258
23790,0.863136,0.835000,0.378136,0.290000,0.880678,0.890000,0.963263,0.995000,0.951059,0.975000,32.061523,3.756836,58.349609,5597.044922,2891.614258
23990,0.863445,0.900000,0.377521,0.305000,0.880966,0.915000,0.963487,0.990000,0.951218,0.970000,35.022461,3.756836,58.349609,5652.705078,2887.801758
24190,0.863375,0.855000,0.376958,0.310000,0.881167,0.905000,0.963708,0.990000,0.951417,0.975000,32.545898,3.756836,58.349609,5735.595703,2887.641602
24390,0.863926,0.930000,0.376033,0.265000,0.881736,0.950000,0.963926,0.990000,0.951777,0.995000,35.077148,3.756836,58.349609,5776.685547,2894.735352
24590,0.863689,0.835000,0.375410,0.300000,0.881762,0.885000,0.964098,0.985000,0.951803,0.955000,32.545898,3.756836,58.349609,5814.466797,2883.735352
24790,0.863902,0.890000,0.374959,0.320000,0.881829,0.890000,0.964268,0.985000,0.952073,0.985000,35.022461,3.756836,58.349609,5903.794922,2884.704102
24990,0.863750,0.845000,0.374153,0.275000,0.881935,0.895000,0.964516,0.995000,0.952298,0.980000,32.545898,3.756836,58.349609,5947.302734,2885.360352
25190,0.863760,0.865000,0.373600,0.305000,0.881720,0.855000,0.964720,0.990000,0.952320,0.955000,35.022461,3.756836,58.349609,6039.552734,2884.766602
25390,0.863730,0.860000,0.373373,0.345000,0.881468,0.850000,0.965000,1.000000,0.952421,0.965000,32.116211,3.756836,58.349609,6119.568359,2895.047852
25590,0.864055,0.905000,0.372835,0.305000,0.881457,0.880000,0.965118,0.980000,0.952559,0.970000,35.022461,3.756836,58.349609,6148.138672,2892.579102
25790,0.863711,0.820000,0.372266,0.300000,0.881836,0.930000,0.965273,0.985000,0.952852,0.990000,32.112305,3.756836,58.349609,6195.912109,2885.860352
25990,0.863837,0.880000,0.372016,0.340000,0.881938,0.895000,0.965388,0.980000,0.952984,0.970000,35.073242,3.756836,58.349609,6308.353516,2910.516602
26190,0.863654,0.840000,0.371231,0.270000,0.882346,0.935000,0.965538,0.985000,0.953154,0.975000,32.573242,3.756836,58.349609,6345.525391,2888.075195
26390,0.863893,0.895000,0.370534,0.280000,0.882443,0.895000,0.965763,0.995000,0.953321,0.975000,35.049805,3.756836,58.349609,6386.802734,2885.215820
26590,0.863447,0.805000,0.370114,0.315000,0.882841,0.935000,0.965985,0.995000,0.953598,0.990000,32.627930,3.756836,58.349609,6447.337891,2890.747070
26790,0.863759,0.905000,0.369211,0.250000,0.883083,0.915000,0.966203,0.995000,0.953835,0.985000,35.022461,3.756836,58.349609,6473.544922,2884.309570
26990,0.863358,0.810000,0.369254,0.375000,0.883022,0.875000,0.966343,0.985000,0.953955,0.970000,32.573242,3.756836,58.349609,6547.259766,2890.215820
27190,0.863519,0.885000,0.368519,0.270000,0.883111,0.895000,0.966556,0.995000,0.954148,0.980000,35.104492,3.756836,58.349609,6675.615234,2888.075195
27390,0.863676,0.885000,0.367537,0.235000,0.883346,0.915000,0.966801,1.000000,0.954412,0.990000,33.541992,3.756836,58.349609,6717.919922,2892.231445
27590,0.864197,0.935000,0.366934,0.285000,0.883394,0.890000,0.966934,0.985000,0.954599,0.980000,35.049805,3.756836,58.349609,6793.169922,2893.809570
27790,0.863949,0.830000,0.366486,0.305000,0.882862,0.810000,0.967065,0.985000,0.954638,0.960000,33.541992,3.756836,58.349609,6908.353516,2896.715820
27990,0.864388,0.925000,0.365935,0.290000,0.882626,0.850000,0.967230,0.990000,0.954748,0.970000,35.049805,3.756836,58.349609,6978.498047,2888.809570
28190,0.864821,0.925000,0.365286,0.275000,0.882357,0.845000,0.967393,0.990000,0.954929,0.980000,35.159180,3.756836,58.349609,7021.599609,2888.344727
