# TEST CONFIGURATION BEGIN
# ReoccuringDriftStream: First Stream: MIXEDGenerator - Drift Stream: MIXEDGenerator - alpha: 90.0 - position: 2000 - width: 1 - 
# [hat] HAT: max_byte_size: 33554432 - memory_estimate_period: 1000000 - grace_period: 200 - split_criterion: info_gain - split_confidence: 1e-07 - tie_threshold: 0.05 - binary_split: False - stop_mem_management: False - remove_poor_atts: False - no_pre_prune: False - leaf_prediction: nba - nb_threshold: 0 - nominal_attributes: [] -
# [rslvq] RSLVQ
# [arslvq] RSLVQ
# [adf] AdaptiveRandomForest: n_estimators: 10 - max_features: auto - disable_weighted_vote: False - lambda_value: 6 -
# [oza] OzaBagginAdwin Classifier: base_estimator: <skmultiflow.lazy.knn.KNN object at 0x7ffb1f743208> - n_estimators: 10
# Prequential Evaluator: n_wait: 200 - max_samples: 50000 - max_time: inf - output_file: Mixed Generator_Mixed Generator_1000_100_memory_other.csv - batch_size: 10 - pretrain_size: 200 - task_type: classification - show_plot: False - metrics: ['accuracy', 'model_size']
# TEST CONFIGURATION END
id,mean_acc_[hat],current_acc_[hat],mean_acc_[rslvq],current_acc_[rslvq],mean_acc_[arslvq],current_acc_[arslvq],mean_acc_[adf],current_acc_[adf],mean_acc_[oza],current_acc_[oza],model_size_[hat],model_size_[rslvq],model_size_[arslvq],model_size_[adf],model_size_[oza]
13790,0.570809,0.815000,0.507206,0.545000,0.593309,0.900000,0.855441,0.905000,0.613603,0.885000,42.350586,3.756836,58.349609,1498.814453,2502.602539
13990,0.573406,0.750000,0.507536,0.530000,0.598188,0.930000,0.856739,0.945000,0.617029,0.850000,42.405273,3.756836,58.349609,1601.830078,2327.766602
14190,0.569357,0.290000,0.507429,0.500000,0.592643,0.210000,0.852929,0.590000,0.611000,0.195000,42.405273,3.756836,58.349609,1608.294922,2458.532227
14390,0.564296,0.210000,0.506831,0.465000,0.585493,0.085000,0.853380,0.885000,0.605704,0.235000,42.405273,3.756836,58.349609,1459.541016,2576.676758
14590,0.561597,0.370000,0.506181,0.460000,0.579931,0.185000,0.853889,0.890000,0.605000,0.555000,42.405273,3.756836,58.349609,1707.955078,2704.098633
14790,0.563219,0.680000,0.504795,0.405000,0.576027,0.295000,0.855068,0.940000,0.608562,0.865000,42.350586,3.756836,58.349609,1235.513672,2431.700195
14990,0.566081,0.775000,0.503784,0.430000,0.571554,0.245000,0.855878,0.915000,0.611554,0.830000,42.405273,3.756836,58.349609,1145.939453,2337.907227
15190,0.562400,0.290000,0.504267,0.540000,0.573400,0.710000,0.851933,0.560000,0.605400,0.150000,42.405273,3.756836,58.349609,940.353516,2456.719727
15390,0.558618,0.275000,0.505263,0.580000,0.576250,0.790000,0.851645,0.830000,0.600395,0.225000,42.405273,3.756836,54.603516,1071.697266,2500.797852
15590,0.559221,0.605000,0.506169,0.575000,0.579416,0.820000,0.852532,0.920000,0.599416,0.525000,42.350586,3.756836,58.376953,1080.912109,2315.723633
15790,0.561667,0.750000,0.507564,0.615000,0.582500,0.820000,0.852885,0.880000,0.602179,0.815000,42.350586,3.756836,58.376953,1196.947266,2433.555664
15990,0.562975,0.665000,0.508608,0.590000,0.586013,0.860000,0.853418,0.895000,0.606013,0.905000,42.350586,3.756836,58.376953,1148.798828,2354.711914
16190,0.561562,0.450000,0.508062,0.465000,0.581313,0.210000,0.850187,0.595000,0.600500,0.165000,42.405273,3.756836,58.376953,1169.623047,2351.559570
16390,0.561728,0.575000,0.506790,0.405000,0.575432,0.105000,0.850926,0.910000,0.597284,0.340000,42.350586,3.756836,58.376953,1264.642578,2478.774414
16590,0.561585,0.550000,0.505671,0.415000,0.570793,0.195000,0.851890,0.930000,0.595854,0.480000,42.405273,3.756836,58.376953,1451.095703,2462.454102
16790,0.562892,0.670000,0.504940,0.445000,0.568072,0.345000,0.852711,0.920000,0.599096,0.865000,42.350586,3.756836,58.376953,1583.650391,2600.489258
16990,0.565238,0.760000,0.504583,0.475000,0.564583,0.275000,0.853869,0.950000,0.603095,0.935000,42.405273,3.756836,58.376953,1336.134766,2588.918945
17190,0.562824,0.360000,0.504941,0.535000,0.566000,0.685000,0.851353,0.640000,0.599176,0.270000,42.405273,3.756836,58.376953,919.365234,2311.434570
17390,0.558779,0.215000,0.505756,0.575000,0.568198,0.755000,0.852151,0.920000,0.594709,0.215000,42.350586,3.756836,58.376953,1176.341797,2440.075195
17590,0.556897,0.395000,0.506149,0.540000,0.570977,0.810000,0.853161,0.940000,0.594368,0.565000,42.350586,3.756836,58.376953,1329.603516,2381.063477
17790,0.556534,0.525000,0.506989,0.580000,0.574091,0.845000,0.853977,0.925000,0.597102,0.835000,42.350586,3.756836,58.376953,1523.103516,2482.786133
17990,0.556461,0.550000,0.507921,0.590000,0.577753,0.900000,0.854775,0.925000,0.601067,0.950000,42.350586,3.756836,58.376953,1598.720703,2608.879883
18190,0.554333,0.365000,0.507333,0.455000,0.573833,0.225000,0.852278,0.630000,0.596889,0.225000,42.350586,3.756836,58.376953,1312.931641,2538.012695
18390,0.552637,0.400000,0.506484,0.430000,0.568681,0.105000,0.852363,0.860000,0.592802,0.225000,42.405273,3.756836,58.376953,1533.462891,2673.977539
18590,0.550924,0.395000,0.505543,0.420000,0.563587,0.100000,0.853424,0.950000,0.591685,0.490000,42.405273,3.756836,58.376953,1666.818359,2782.231445
18790,0.552204,0.670000,0.504247,0.385000,0.558925,0.130000,0.854140,0.920000,0.594140,0.820000,42.350586,3.756836,58.376953,1882.291016,2607.083008
18990,0.553883,0.710000,0.503245,0.410000,0.555479,0.235000,0.855000,0.935000,0.598245,0.980000,42.405273,3.756836,58.376953,1885.396484,2668.922852
19190,0.551842,0.360000,0.503632,0.540000,0.556684,0.670000,0.851842,0.555000,0.595105,0.300000,42.405273,3.756836,58.376953,1921.541016,2368.348633
19390,0.550677,0.440000,0.504271,0.565000,0.559063,0.785000,0.851771,0.845000,0.591458,0.245000,42.405273,3.756836,58.376953,1470.337891,2532.250977
19590,0.552113,0.690000,0.505155,0.590000,0.562577,0.900000,0.852629,0.935000,0.592010,0.645000,42.405273,3.756836,58.376953,1666.263672,2633.833008
19790,0.553673,0.705000,0.505051,0.495000,0.566224,0.920000,0.853571,0.945000,0.594541,0.840000,42.405273,3.756836,58.376953,1726.216797,2728.364258
19990,0.555354,0.720000,0.505606,0.560000,0.569444,0.885000,0.854040,0.900000,0.598283,0.965000,42.350586,3.756836,58.376953,1237.779297,2862.020508
20190,0.554200,0.440000,0.505350,0.480000,0.566400,0.265000,0.851900,0.640000,0.595500,0.320000,42.350586,3.756836,58.376953,1312.818359,2143.840820
20390,0.552178,0.350000,0.504505,0.420000,0.561683,0.090000,0.852673,0.930000,0.593366,0.380000,42.405273,3.756836,58.376953,1385.083984,2218.235352
20590,0.550833,0.415000,0.504167,0.470000,0.557108,0.095000,0.853480,0.935000,0.594216,0.680000,42.405273,3.756836,58.376953,1514.576172,2354.805664
20790,0.552282,0.700000,0.503301,0.415000,0.552961,0.130000,0.854078,0.915000,0.596456,0.825000,42.405273,3.756836,58.376953,1681.587891,2343.157227
20990,0.554038,0.735000,0.502404,0.410000,0.549423,0.185000,0.854760,0.925000,0.600000,0.965000,42.405273,3.756836,58.376953,1556.322266,2235.805664
21190,0.552714,0.415000,0.502476,0.510000,0.550429,0.655000,0.852667,0.635000,0.596190,0.200000,42.350586,3.756836,58.376953,1425.595703,2374.247070
21390,0.552217,0.500000,0.503396,0.600000,0.553208,0.845000,0.853349,0.925000,0.592264,0.180000,42.350586,3.756836,58.376953,1640.912109,2511.465820
21590,0.551869,0.515000,0.504112,0.580000,0.556449,0.900000,0.853832,0.905000,0.592196,0.585000,42.405273,3.756836,58.376953,1693.697266,2679.911133
