# TEST CONFIGURATION BEGIN
# ReoccuringDriftStream: First Stream: MIXEDGenerator - Drift Stream: MIXEDGenerator - alpha: 90.0 - position: 2000 - width: 1 - 
# [hat] HAT: max_byte_size: 33554432 - memory_estimate_period: 1000000 - grace_period: 200 - split_criterion: info_gain - split_confidence: 1e-07 - tie_threshold: 0.05 - binary_split: False - stop_mem_management: False - remove_poor_atts: False - no_pre_prune: False - leaf_prediction: nba - nb_threshold: 0 - nominal_attributes: [] - 
# [rslvq] RSLVQ
# [arslvq] RSLVQ
# [adf] AdaptiveRandomForest: n_estimators: 10 - max_features: auto - disable_weighted_vote: False - lambda_value: 6 - 
# [oza] OzaBagginAdwin Classifier: base_estimator: <skmultiflow.lazy.knn.KNN object at 0x7f1e65649710> - n_estimators: 10
# [samknn] avg. STMSize nan LTMSize nan; num correct STM 0 LTM 0 CM 0 ; num correct 0/0

# Prequential Evaluator: n_wait: 200 - max_samples: 50000 - max_time: inf - output_file: Mixed Generator_Mixed Generator_1000_100_memory_other.csv - batch_size: 10 - pretrain_size: 200 - task_type: classification - show_plot: False - metrics: ['accuracy', 'running_time']
# TEST CONFIGURATION END
id,mean_acc_[hat],current_acc_[hat],mean_acc_[rslvq],current_acc_[rslvq],mean_acc_[arslvq],current_acc_[arslvq],mean_acc_[adf],current_acc_[adf],mean_acc_[oza],current_acc_[oza],mean_acc_[samknn],current_acc_[samknn],training_time_[hat],testing_time_[hat],total_running_time_[hat],training_time_[rslvq],testing_time_[rslvq],total_running_time_[rslvq],training_time_[arslvq],testing_time_[arslvq],total_running_time_[arslvq],training_time_[adf],testing_time_[adf],total_running_time_[adf],training_time_[oza],testing_time_[oza],total_running_time_[oza],training_time_[samknn],testing_time_[samknn],total_running_time_[samknn]
7190,0.593429,0.315000,0.520143,0.625000,0.630429,0.195000,0.864286,0.680000,0.667286,0.090000,0.851429,0.405000,0.875018,0.218286,1.093304,4.215016,0.834363,5.049379,6.913715,0.208518,7.122233,19.613633,1.729188,21.342821,6.062340,3.685069,9.747409,3.271745,1.077992,4.349737
7390,0.591111,0.510000,0.522222,0.595000,0.618472,0.200000,0.864306,0.865000,0.655556,0.245000,0.854167,0.950000,0.901315,0.222939,1.124254,4.332349,0.857160,5.189510,7.112319,0.214390,7.326709,20.163279,1.772929,21.936208,6.248570,3.783698,10.032268,3.338598,1.098513,4.437111
7590,0.593378,0.675000,0.525946,0.660000,0.608649,0.255000,0.866081,0.930000,0.654865,0.630000,0.857568,0.980000,0.928645,0.227906,1.156551,4.449765,0.880200,5.329964,7.309914,0.220339,7.530253,20.711643,1.818238,22.529881,6.427236,3.882359,10.309595,3.420947,1.125122,4.546070
7790,0.598553,0.790000,0.527368,0.580000,0.598816,0.235000,0.867237,0.910000,0.660395,0.865000,0.860658,0.975000,0.958609,0.234184,1.192793,4.566591,0.902767,5.469357,7.508526,0.226288,7.734813,21.271516,1.866011,23.137528,6.599538,3.988576,10.588115,3.516934,1.157888,4.674822
7990,0.602821,0.765000,0.530128,0.635000,0.600769,0.675000,0.868974,0.935000,0.666410,0.895000,0.863718,0.980000,0.989375,0.240416,1.229792,4.683738,0.925560,5.609298,7.705966,0.232268,7.938235,21.822463,1.913561,23.736025,6.772405,4.092959,10.865364,3.627486,1.196868,4.824354
8190,0.594875,0.285000,0.526750,0.395000,0.593000,0.290000,0.861750,0.580000,0.651625,0.075000,0.850375,0.330000,1.020122,0.246771,1.266892,4.801049,0.948831,5.749880,7.904880,0.238235,8.143115,22.481937,1.964320,24.446257,6.945842,4.194332,11.140174,3.723450,1.230983,4.954434
8390,0.586951,0.270000,0.522805,0.365000,0.596829,0.750000,0.862561,0.895000,0.643049,0.300000,0.852439,0.935000,1.050024,0.252895,1.302918,4.918117,0.971591,5.889708,8.103251,0.244164,8.347415,23.072234,2.011471,25.083705,7.118629,4.292350,11.410979,3.789704,1.249806,5.039510
8590,0.584881,0.500000,0.518690,0.350000,0.602857,0.850000,0.863690,0.910000,0.640476,0.535000,0.855119,0.965000,1.079479,0.258659,1.338137,5.034704,0.994690,6.029394,8.301547,0.250159,8.551706,23.660388,2.058903,25.719291,7.291258,4.362566,11.653824,3.868153,1.270390,5.138543
8790,0.585116,0.595000,0.514651,0.345000,0.608488,0.845000,0.865465,0.940000,0.645698,0.865000,0.857558,0.960000,1.110245,0.264893,1.375138,5.151647,1.017634,6.169281,8.499785,0.256057,8.755842,24.228897,2.104560,26.333457,7.462313,4.468629,11.930942,3.957140,1.297366,5.254507
8990,0.588182,0.720000,0.511250,0.365000,0.613295,0.820000,0.866705,0.920000,0.651250,0.890000,0.860227,0.975000,1.140507,0.271090,1.411596,5.269080,1.040747,6.309827,8.698815,0.262164,8.960978,24.842876,2.152881,26.995756,7.631873,4.570253,12.202126,4.057002,1.331201,5.388202
9190,0.581667,0.295000,0.514556,0.660000,0.604222,0.205000,0.860222,0.575000,0.640000,0.145000,0.851667,0.475000,1.170383,0.277310,1.447694,5.385890,1.063580,6.449471,8.897891,0.268211,9.166102,25.542290,2.204923,27.747213,7.810139,4.672718,12.482857,4.141174,1.361033,5.502207
9390,0.575435,0.295000,0.515978,0.580000,0.593804,0.125000,0.860652,0.880000,0.631848,0.265000,0.853913,0.955000,1.199405,0.283106,1.482511,5.503453,1.086561,6.590013,9.095919,0.274127,9.370047,26.112442,2.252613,28.365055,7.981042,4.777989,12.759031,4.211454,1.381309,5.592763
9590,0.575319,0.570000,0.518404,0.630000,0.583936,0.130000,0.861915,0.920000,0.630957,0.590000,0.856596,0.980000,1.228146,0.287947,1.516092,5.620778,1.109620,6.730398,9.293413,0.280055,9.573467,26.653947,2.300126,28.954073,8.156624,4.876178,13.032802,4.301478,1.407862,5.709341
9790,0.578646,0.735000,0.520521,0.620000,0.576562,0.230000,0.862917,0.910000,0.637188,0.930000,0.858854,0.965000,1.257746,0.293503,1.551249,5.738080,1.132436,6.870516,9.491461,0.286025,9.777486,27.179755,2.345517,29.525272,8.328914,4.977675,13.306590,4.398501,1.440726,5.839227
